Raman shift (cm-1) - Current Spectrum	Intensity (Counts) - Current Spectrum	
2715.53	27366	
2716.9	26988	
2718.28	27085	
2719.66	27478	
2721.04	27370	
2722.41	27160	
2723.79	27314	
2725.16	26922	
2726.54	27329	
2727.91	27104	
2729.29	27444	
2730.66	27204	
2732.03	27309	
2733.4	27017	
2734.77	26930	
2736.14	26911	
2737.51	27016	
2738.88	27069	
2740.25	27307	
2741.62	26886	
2742.98	27042	
2744.35	27129	
2745.71	27417	
2747.08	27380	
2748.44	27195	
2749.81	27370	
2751.17	26922	
2752.53	27009	
2753.89	27236	
2755.25	27266	
2756.61	26903	
2757.97	27076	
2759.33	27038	
2760.69	26733	
2762.05	26729	
2763.41	26793	
2764.76	26614	
2766.12	26494	
2767.47	26821	
2768.83	26989	
2770.18	26818	
2771.53	26708	
2772.88	26911	
2774.24	26736	
2775.59	27037	
2776.94	26912	
2778.29	26750	
2779.63	26727	
2780.98	26730	
2782.33	26768	
2783.68	26882	
2785.03	26914	
2786.37	26860	
2787.72	26642	
2789.06	27156	
2790.41	26656	
2791.75	26377	
2793.09	26569	
2794.43	26653	
2795.77	26783	
2797.11	26758	
2798.45	27071	
2799.79	26540	
2801.13	26997	
2802.47	26642	
2803.81	26764	
2805.14	26539	
2806.48	26813	
2807.82	26934	
2809.15	27164	
2810.48	26914	
2811.82	26676	
2813.15	27335	
2814.48	27102	
2815.81	26876	
2817.14	27486	
2818.48	26962	
2819.8	27022	
2821.13	27183	
2822.46	27205	
2823.79	27089	
2825.12	26902	
2826.44	27169	
2827.77	26972	
2829.09	27023	
2830.42	26723	
2831.74	27141	
2833.07	26818	
2834.39	26954	
2835.71	27121	
2837.03	26698	
2838.35	26829	
2839.67	27461	
2840.99	26940	
2842.31	27107	
2843.63	26862	
2844.95	26916	
2846.26	26833	
2847.58	27196	
2848.89	27212	
2850.21	27231	
2851.52	26895	
2852.84	26769	
2854.15	27097	
2855.46	27240	
2856.78	27115	
2858.09	27443	
2859.4	27424	
2860.71	27497	
2862.02	27489	
2863.32	27721	
2864.63	28024	
2865.94	27764	
2867.25	27701	
2868.55	27930	
2869.86	27792	
2871.16	27610	
2872.47	27997	
2873.77	27780	
2875.07	28158	
2876.37	27930	
2877.68	28434	
2878.98	27930	
2880.28	27621	
2881.58	27973	
2882.88	28064	
2884.18	28091	
2885.47	27694	
2886.77	27304	
2888.07	27954	
2889.36	27650	
2890.66	27740	
2891.95	27821	
2893.24	27957	
2894.54	27453	
2895.83	27824	
2897.12	27802	
2898.42	27730	
2899.71	27903	
2901	27671	
2902.28	27528	
2903.58	27410	
2904.86	27667	
2906.15	27504	
2907.44	27800	
2908.72	27661	
2910.01	27913	
2911.29	27220	
2912.58	27630	
2913.86	27743	
2915.15	27432	
2916.43	27519	
2917.71	27560	
2918.99	27250	
2920.27	27699	
2921.55	27281	
2922.83	27225	
2924.11	27553	
2925.39	27055	
2926.67	27295	
2927.94	26917	
2929.22	27511	
2930.5	26662	
2931.77	26721	
2933.05	26786	
2934.32	26762	
2935.59	26806	
2936.87	27044	
2938.14	26689	
2939.41	26494	
2940.68	26851	
2941.95	26628	
2943.22	26596	
2944.49	26515	
2945.76	26381	
2947.02	26660	
2948.29	26034	
2949.56	26541	
2950.82	26037	
2952.09	25890	
2953.35	26354	
2954.62	25954	
2955.88	25754	
2957.14	26086	
2958.4	26027	
2959.67	25946	
2960.93	25651	
2962.19	25886	
2963.45	25691	
2964.71	25368	
2965.96	25731	
2967.22	25262	
2968.48	25251	
2969.74	24791	
2970.99	25114	
