Raman shift (cm-1) - Current Spectrum	Intensity (Counts) - Current Spectrum	
3100.63	210	
3101.82	206	
3103.01	207	
3104.2	190	
3105.39	184	
3106.58	190	
3107.76	181	
3108.95	187	
3110.14	204	
3111.32	199	
3112.51	197	
3113.69	205	
3114.88	200	
3116.06	198	
3117.24	208	
3118.42	221	
3119.61	217	
3120.79	217	
3121.97	224	
3123.15	212	
3124.33	212	
3125.5	211	
3126.68	209	
3127.86	208	
3129.04	206	
3130.21	208	
3131.39	210	
3132.56	213	
3133.74	230	
3134.91	228	
3136.08	231	
3137.26	239	
3138.43	246	
3139.6	239	
3140.77	229	
3141.94	241	
3143.11	239	
3144.28	237	
3145.45	231	
3146.62	218	
3147.79	208	
3148.95	202	
3150.12	200	
3151.28	197	
3152.45	203	
3153.61	214	
3154.77	214	
3155.94	218	
3157.1	227	
3158.26	230	
3159.42	232	
3160.58	235	
3161.75	241	
3162.9	247	
3164.06	242	
3165.22	233	
3166.38	227	
3167.54	208	
3168.7	197	
3169.85	182	
3171.01	182	
3172.16	185	
3173.32	192	
3174.47	202	
3175.62	201	
3176.77	197	
3177.93	188	
3179.08	174	
3180.23	166	
3181.38	164	
3182.53	175	
3183.68	187	
3184.83	198	
3185.97	203	
3187.12	214	
3188.27	211	
3189.41	213	
3190.56	202	
3191.7	187	
3192.85	191	
3193.99	195	
3195.13	202	
3196.28	208	
3197.42	214	
3198.56	226	
3199.7	224	
3200.84	226	
3201.98	210	
3203.12	217	
3204.26	209	
3205.4	192	
3206.53	195	
3207.67	199	
3208.8	203	
3209.94	204	
3211.07	199	
3212.21	199	
3213.34	201	
3214.48	221	
3215.61	205	
3216.74	208	
3217.87	219	
3219	220	
3220.13	223	
3221.26	224	
3222.39	224	
3223.52	218	
3224.65	215	
