Raman shift (cm-1) - Current Spectrum	Intensity (Counts) - Current Spectrum	
2878.98	28145	
2880.28	27700	
2881.58	28048	
2882.88	27952	
2884.18	27710	
2885.47	28264	
2886.77	27771	
2888.07	27917	
2889.36	27847	
2890.66	27798	
2891.95	27745	
2893.24	28109	
2894.54	27224	
2895.83	27944	
2897.12	27392	
2898.42	27684	
2899.71	27579	
2901	27603	
2902.28	27673	
2903.58	27313	
2904.86	27583	
2906.15	27425	
2907.44	27529	
2908.72	27507	
2910.01	27812	
2911.29	27331	
2912.58	27576	
2913.86	27530	
2915.15	27505	
2916.43	27111	
2917.71	27205	
2918.99	27883	
2920.27	27158	
2921.55	27304	
2922.83	27272	
2924.11	27163	
2925.39	27143	
2926.67	27002	
2927.94	27053	
2929.22	26965	
2930.5	26977	
2931.77	26700	
2933.05	26770	
2934.32	26784	
2935.59	26794	
2936.87	26550	
2938.14	26673	
2939.41	26836	
2940.68	26923	
2941.95	26360	
2943.22	26492	
2944.49	26003	
2945.76	26195	
2947.02	26284	
2948.29	26271	
2949.56	26515	
2950.82	25973	
2952.09	25679	
2953.35	26045	
2954.62	25836	
2955.88	25884	
2957.14	25606	
2958.4	26179	
2959.67	25251	
2960.93	25677	
2962.19	26081	
2963.45	25688	
2964.71	25402	
2965.96	25389	
2967.22	25380	
2968.48	25251	
2969.74	25363	
2970.99	25294	
2972.25	25108	
2973.5	24981	
2974.75	24726	
2976.01	24748	
2977.26	24920	
2978.51	24423	
2979.76	24452	
2981.02	24872	
2982.26	24445	
2983.52	24637	
2984.76	24479	
2986.01	24387	
2987.26	24169	
2988.51	24255	
2989.75	23888	
2991	23773	
2992.24	24121	
2993.49	24052	
2994.73	24122	
2995.98	23803	
2997.22	23862	
2998.46	23732	
2999.7	23907	
3000.94	23318	
3002.18	23202	
3003.42	23418	
3004.66	23265	
3005.9	23131	
3007.14	22686	
3008.38	22938	
3009.61	23326	
3010.85	22729	
3012.09	22641	
3013.32	22558	
3014.56	22386	
3015.79	22688	
3017.02	22573	
3018.25	22426	
3019.49	22374	
3020.72	22346	
3021.95	22501	
3023.18	22278	
3024.41	21956	
3025.64	21964	
3026.86	22032	
3028.09	22094	
3029.32	21888	
