17/8/2023
5:01 pm
Raman shift	Intensity
cm-1	Counts
1832.109568	0.000000
1833.895358	0.000000
1835.682528	0.000000
1837.467566	0.000000
1839.255738	0.000000
1841.040024	0.000000
1842.822181	3.960931
1844.605716	14.790494
1846.387123	26.805256
1848.169909	26.469290
1849.948814	29.031473
1851.729099	28.772661
1853.507257	21.082542
1855.286794	22.734623
1857.064206	22.868571
1858.839494	25.021132
1860.616161	38.073728
1862.390704	33.180033
1864.166626	29.365566
1865.936927	28.092596
1867.710356	28.640273
1869.481665	33.417014
1871.252604	40.374554
1873.024919	46.504512
1874.791621	39.016103
1876.561449	42.080432
1878.327413	36.239629
1880.096501	34.779817
1881.861727	30.896743
1883.626584	23.033661
1885.392819	14.669336
1887.155195	4.662137
1888.917204	0.000000
1890.678845	5.511849
1892.440120	4.648691
1894.201027	7.435778
1895.961568	7.233868
1897.719999	0.000000
1899.478065	7.794330
1901.234022	15.432022
1902.991356	18.311466
1904.748325	28.205499
1906.503188	36.289521
1908.255945	41.222635
1910.008339	46.954284
1911.762108	54.864755
1913.513774	53.638957
1915.263338	71.560884
1917.014277	83.326793
1918.764854	75.321081
1920.511591	80.503098
1922.259705	84.395687
1924.005719	96.650955
1925.753109	109.716196
1927.498400	109.407725
1929.241594	115.173747
1930.986163	126.630253
1932.728637	150.071820
1934.470750	180.515069
1936.212503	196.879736
1937.953897	222.241053
1939.693196	242.688502
1941.432137	258.809615
1943.170720	270.693243
1944.907210	299.211069
1946.643343	317.404794
1948.380850	338.370561
1950.114535	361.151407
1951.849595	361.969443
1953.582567	349.266164
1955.315182	360.675712
1957.047440	366.860278
1958.779342	374.275614
1960.509158	368.577213
1962.236889	373.906422
1963.965995	378.191267
1965.694746	382.999468
1967.421413	403.721128
1969.147726	425.570789
1970.875412	427.372567
1972.597562	430.919019
1974.322813	426.602289
1976.044258	429.105838
1977.768802	425.285389
1979.491267	453.482183
1981.209928	457.947106
1982.931688	466.324159
1984.649646	468.459215
1986.368977	478.017333
1988.084509	482.785216
1989.804861	505.452698
1991.521415	526.645052
1993.234172	530.241227
1994.950026	548.477013
1996.663806	572.344341
1998.377237	586.055449
2000.088597	609.180347
2001.801330	627.837236
2003.510271	646.820525
2005.222306	665.146466
2006.928831	666.168029
2008.638449	678.527043
2010.345999	693.307380
